74개 기초자치단체 / 인구 10만 명당 진단 수 / 201101~202006 월단위,,,,,,,,
,,,,,,,,
,,,,,,,,
연월,시군구코드,시도,시군구,"폐암
(C34)","만성폐쇄성폐질환
(J44)","하기도감염
(J20-22)","허혈성심질환
(I20-22)","뇌졸중
(I60-64)"
201102,11350,서울특별시,노원구,90.9,189.9,13083.5,473.4,574.1
201102,11380,서울특별시,은평구,94.2,192.9,13234.7,505.2,542.5
201102,11410,서울특별시,서대문구,98.5,171.5,10057.1,561.9,657.1
201102,11440,서울특별시,마포구,89.6,198.5,13304.5,528.1,535.8
201102,11470,서울특별시,양천구,93.8,193.3,9530.8,524,558.8
201102,11500,서울특별시,강서구,97,150.2,13387.4,480.4,512.8
201102,11530,서울특별시,구로구,82.1,199.1,13842.9,515.1,551.2
201102,11545,서울특별시,금천구,82.2,178.3,13083.8,469.1,613.3
201102,11560,서울특별시,영등포구,102.7,230.5,12013.8,606.4,693.9
201102,11590,서울특별시,동작구,122.6,186.1,10943.7,551.6,604.6
201102,11620,서울특별시,관악구,92.9,202.3,11613.9,451.8,554.7
201102,11650,서울특별시,서초구,111.9,158.2,9125.5,602.7,611.7
201102,11680,서울특별시,강남구,102.9,195.9,8714.2,535.6,552.6
201102,11710,서울특별시,송파구,102.9,169.7,10543.4,460.9,498.1
201102,11740,서울특별시,강동구,106.2,152.5,9297.4,468.2,546.5
201102,26110,부산광역시,중구,98.6,242.4,11311.3,720.9,821.6
201102,26140,부산광역시,서구,95.4,188.3,11249.8,644.2,802.6
201102,26170,부산광역시,동구,120.5,174.3,9587.7,705,828.5
201102,26200,부산광역시,영도구,110.3,206.7,11591.8,625,651.5
201102,26230,부산광역시,부산진구,85.6,151.4,12848.7,640.9,683.5
201102,26260,부산광역시,동래구,82.8,153.3,12553.3,725.3,696.8
201102,26290,부산광역시,남구,81.3,152.1,12582,707.5,683.4
201102,26320,부산광역시,북구,66.2,149.7,11491.4,543.2,591.9
201102,26350,부산광역시,해운대구,83.2,212.6,11232.8,645.6,657.2
201102,26380,부산광역시,사하구,79.9,144,12038.8,566.9,690.1
201102,26410,부산광역시,금정구,69.9,203.4,10209.2,764,670.9
201102,26440,부산광역시,강서구,60.2,224,13504.7,764.7,670.4
201102,26470,부산광역시,연제구,90,170.6,10484.9,808.6,732.2
201102,26500,부산광역시,수영구,94.5,148.8,9600.9,749.3,700.1
201102,26530,부산광역시,사상구,83.3,160,13201,487.8,599.4
201102,26710,부산광역시,기장군,74.9,201.7,16420.7,725.3,621.7
201102,27110,대구광역시,중구,100.5,330.3,10141,729.8,767.6
201102,27140,대구광역시,동구,87.6,260.8,10649.6,502.6,734.5
201102,27170,대구광역시,서구,68.3,219.2,11322.5,513,710.6
201102,27200,대구광역시,남구,63.3,179.2,8405.9,520.4,771.8
