sido_code,sigungu_code,sido,yyyymm,pm10,sigungu,precipitation,male_avg_age,female_avg_age,year,month,ISO,disease_type,value
30,30140,대전,201101,41.0,중구,4.0,37.5,39.7,2011,1,KR-30,폐암,99.4
30,30170,대전,201101,38.0,서구,4.0,34.7,36.6,2011,1,KR-30,폐암,99.6
30,30200,대전,201101,40.0,유성구,4.0,33.0,34.8,2011,1,KR-30,폐암,100.2
30,30230,대전,201101,45.5,대덕구,4.0,35.6,37.6,2011,1,KR-30,폐암,94.5
31,31110,울산,201101,39.0,중구,10.5,36.2,38.4,2011,1,KR-31,폐암,104.9
31,31140,울산,201101,35.5,남구,10.5,35.0,36.7,2011,1,KR-31,폐암,101.3
31,31170,울산,201101,46.0,동구,10.5,35.0,36.7,2011,1,KR-31,폐암,89.4
31,31200,울산,201101,47.5,북구,10.5,32.7,34.1,2011,1,KR-31,폐암,110.1
31,31710,울산,201101,36.33333333,울주군,10.5,35.9,38.4,2011,1,KR-31,폐암,99.7
11,11110,서울,201102,71.0,종로구,29.1,39.5,41.6,2011,2,KR-11,폐암,98.6
11,11140,서울,201102,72.0,중구,29.1,40.0,41.9,2011,2,KR-11,폐암,66.8
11,11170,서울,201102,78.0,용산구,29.1,39.1,41.2,2011,2,KR-11,폐암,88.0
11,11200,서울,201102,80.0,성동구,29.1,37.9,39.6,2011,2,KR-11,폐암,69.2
11,11215,서울,201102,77.0,광진구,29.1,37.0,38.3,2011,2,KR-11,폐암,107.5
11,11230,서울,201102,78.0,동대문구,29.1,38.7,40.5,2011,2,KR-11,폐암,86.7
11,11260,서울,201102,79.0,중랑구,29.1,38.1,39.7,2011,2,KR-11,폐암,82.4
11,11290,서울,201102,63.0,성북구,29.1,37.7,39.6,2011,2,KR-11,폐암,90.7
11,11305,서울,201102,65.0,강북구,29.1,38.9,41.0,2011,2,KR-11,폐암,82.9
11,11320,서울,201102,70.0,도봉구,29.1,37.9,39.7,2011,2,KR-11,폐암,82.1
11,11350,서울,201102,60.0,노원구,29.1,36.3,38.7,2011,2,KR-11,폐암,90.9
11,11380,서울,201102,72.0,은평구,29.1,38.0,39.9,2011,2,KR-11,폐암,94.2
11,11410,서울,201102,83.0,서대문구,29.1,38.4,40.5,2011,2,KR-11,폐암,98.5
11,11440,서울,201102,83.0,마포구,29.1,37.3,39.1,2011,2,KR-11,폐암,89.6
11,11470,서울,201102,70.0,양천구,29.1,36.1,37.9,2011,2,KR-11,폐암,93.8
11,11500,서울,201102,78.0,강서구,29.1,36.8,38.8,2011,2,KR-11,폐암,97.0
11,11530,서울,201102,78.0,구로구,29.1,37.4,38.9,2011,2,KR-11,폐암,82.1
11,11545,서울,201102,65.0,금천구,29.1,38.2,39.7,2011,2,KR-11,폐암,82.2
